Empresa;C�digo;�ndices dos quais participa
3M;MMMC34;BDRX
3TENTOS;TTEN3;AGFS,IBRA,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ABBVIE;ABBV34;BDRX
ABC BRASIL;ABCB4;IBRA,ICO2,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL
ADOBE INC;ADBE34;BDRX
ADVANCE AUTO;A1AP34;BDRX
ADVANCED MIC;A1MD34;BDRX
AERIS;AERI3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
AIRBNB;AIRB34;BDRX
ALBEMARLE CO;A1LB34;BDRX
ALIBABAGR;BABA34;BDRX
ALLIAR;AALR3;IGCX,IGNM,ITAG
ALLIED;ALLD3;IGCX,IGNM,ITAG
ALLOS;ALOS3;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,IMOB,ISEE,ITAG,IVBX,SMLL
ALPARGATAS;ALPA3;IGCX
ALPARGATAS;ALPA4;IBRA,ICON,IGCT,IGCX,INDX,SMLL
ALPHABET;GOGL34;BDRX
ALPHABET;GOGL35;BDRX
ALPHAVILLE;AVLL3;IGCX,IGNM,ITAG
ALUPAR;ALUP11;IBRA,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL
AMAZON;AMZO34;BDRX
AMBEV S/A;ABEV3;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,INDX,ISEE,MLCX
AMBIPAR;AMBP3;IBRA,IBXX,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
AMERICAN AIR;AALL34;BDRX
AMERICAN EXP;AXPB34;BDRX
AMERICAN TOW;T1OW34;BDRX
ANIMA;ANIM3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
APPLE;AAPL34;BDRX
APPLIED MATE;A1MT34;BDRX
ARCELOR;ARMT34;BDRX
ARISTA NETWO;A1NE34;BDRX
ARMAC;ARML3;AGFS,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
ASML HOLD;ASML34;BDRX
ASSAI;ASAI3;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
ASTRAZENECA;A1ZN34;BDRX
ATT INC;ATTB34;BDRX
AUREN;AURE3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
AZZAS 2154;AZZA3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
B3;B3SA3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
BAIDU INC;BIDU34;BDRX
BANCO BMG;BMGB4;IGCX,ITAG
BANCO PAN;BPAN4;GPTW,IBRA,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,SMLL
BANESE;BGIP3;ITAG
BANESE;BGIP4;ITAG
BANESTES;BEES3;ITAG
BANESTES;BEES4;ITAG
BANK AMERICA;BOAC34;BDRX
BANRISUL;BRSR3;IGCX,ITAG
BANRISUL;BRSR6;IBRA,ICO2,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL
BBSEGURIDADE;BBSE3;IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
BEMOBI TECH;BMOB3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
BERKSHIRE;BERK34;BDRX
BEYOND MEAT;B2YN34;BDRX
BILIBILI INC;B1IL34;BDRX
BILL HOLD;B2HI34;BDRX
BIOMA EDUC;BIED3;ITAG
BIOMM;BIOM3;ITAG
